,1M,3M,6M,1Y,3Y,5Y,YTD
AAPL,-8.680581597162663,-1.2692143077587925,24.621949369990624,-54.13938455996308,6.313389780489831,184.769929776053,-0.8034669457288479
AIR.PA,9.368602808978753,5.816831683168311,16.66302727643858,37.81990769386066,91.9370338143593,153.8951571801317,7.736898475674603
AMZN,3.048910303939123,3.7480678820214663,8.286041063283678,-53.71465876808627,44.7829122562399,113.44322566153404,8.40995221057459
BNP.PA,2.785653865374549,5.562909865221433,7.600282637177913,45.849759824306304,69.68397805993365,148.97837582622867,-1.3491817736514755
BRK-B,-1.8419568015568877,-5.742815671382473,5.1661879875982475,-53.2665612346779,-17.671349838868032,198.08371686384572,2.2441893708262217
ENGI.PA,9.422637189246386,25.21141880829221,20.437216279467798,63.700182212981616,135.66738680250202,161.36042110977954,5.711738935122401
EURUSD=X,0.4020869280276118,1.0531158749024438,-0.12388741219548915,12.97863713058145,9.68371567299522,-4.752442045557648,-0.5025905836644862
GOOGL,-1.2673259254694313,26.562562285763214,80.52569223854518,-29.0647022591251,92.98410660283804,407.46068640107404,6.561950262520999
JNJ,0.8915651524485257,1.7423298973060275,35.228326115326844,-36.025904470132495,-32.213902315231294,110.12499692250634,3.860245482826019
KER.PA,6.212910224421897,-1.521039549201053,53.1608611892517,38.41867389181657,-36.32723146467198,-40.81347400911128,1.09634145945805
MC.PA,2.109362365323797,16.25124730666323,30.148002479646486,1.3672975284174882,-12.191644127193735,30.7064017030388,-2.4341104196947683
META,-3.9155470895803957,-14.459964291449312,-8.667587332509497,-54.64887394737268,164.17764521784918,243.2779731279446,1.8009006793797466
MSFT,-4.459479125831356,-11.905916803305505,-2.7657316380112595,-51.17434223423487,14.124912674855207,222.5950768645442,3.557813043073299
NVDA,-0.5936754537605116,-4.0466685213406794,15.680038914981953,-42.53679831378927,534.2354517844608,1908.4702349595184,5.039645357288958
OR.PA,-3.3134198268769954,-3.6926806768207032,-4.774643790850474,9.35312926025218,2.0100479662190196,25.05617951028576,-2.891436423086835
RMS.PA,-0.849457291175082,3.2432432432432323,-13.75205254515599,-10.418771126135995,34.170878558748676,146.2748680296685,-0.9896324222431696
SAN.PA,-0.5767191368178715,-0.7079390014592346,-0.3372260428922136,-9.695071432026692,3.206024238772631,27.980048427590056,0.036265448324690475
SGO.PA,-0.2609741550875788,-3.9524777796283272,-16.254979528678206,0.8300140487281782,72.77664323477389,121.90456371337478,-3.311864401723774
TSLA,-5.77522075204474,-3.043429137905629,38.80572796663459,-53.50730017183554,88.60234747086166,106.79592744956805,-0.6276420290874607
V,5.979342817858879,-3.572995063528228,3.5626592066001272,-51.20065777755811,-12.808491322236737,140.8398714132947,5.117018926164452
VIE.PA,3.823826892716231,5.553628639810149,-1.266231815938379,17.802902735528626,28.95089284811614,74.80516473258542,2.3216707604282183
^FCHI,2.25283994096368,3.989895451818648,5.1681554878372005,10.48652663420202,19.20502311810326,44.28058923534077,1.0358908138536016
